image,generated_caption
1415455940.jpg,a man in a blue shirt is standing in front of a building
2151300603.jpg,a man in a blue shirt is standing in front of a building
711785371.jpg,a man in a blue shirt is playing a <unk>
3563871276.jpg,a man in a white shirt is standing on a dock
238062992.jpg,a man in a blue shirt is standing in front of a building
1463864223.jpg,a man in a blue shirt is sitting on a stool in front of a building
4719291633.jpg,a man in a blue shirt is standing in front of a store
4546915051.jpg,a young boy sitting on a couch reading a book
2111061687.jpg,a group of people are sitting on a couch
2478929971.jpg,a group of people are walking in a field
4706203156.jpg,a woman in a pink shirt is holding a red and white <unk>
2925242998.jpg,a man in a blue shirt is walking down the side of a mountain
7168978111.jpg,a young boy is running in a park
1433577867.jpg,a dog is running through a river
4637942232.jpg,a young girl in a pink dress is walking in a park
4573386995.jpg,a man in a black shirt is walking down the sidewalk
292198220.jpg,a little girl in a pink shirt is holding a baby
6113672400.jpg,a man in a blue shirt is standing in front of a firetruck
3103655513.jpg,a man in a blue shirt is standing in front of a car
6882870726.jpg,a man in a black shirt is standing in front of a store
1506789462.jpg,a man in a blue shirt is walking down a street
1043910339.jpg,a man in a red shirt is jumping in the air
2373358061.jpg,a group of people are standing on a boat
161158687.jpg,a man in a blue shirt is standing in front of a store
267325341.jpg,a dog is running through a field of grass
5971671598.jpg,a man in a blue shirt is playing a game of volleyball
4797991515.jpg,a man in a black shirt is playing a guitar
4806158094.jpg,a man in a blue shirt is sitting on a bench
4866267667.jpg,a man in a black shirt is walking down the street
4678093761.jpg,a woman in a black shirt and a woman in a black shirt are standing in front of a building
2954840987.jpg,a group of people are gathered around a table
479472539.jpg,a group of people are walking down a street
1419394636.jpg,a man in a blue shirt and a woman in a blue shirt are walking
4858608182.jpg,a group of people are walking down a street
3880726770.jpg,a man in a blue shirt is standing in front of a large amount of produce
87761964.jpg,a group of people are standing on a dock overlooking a lake
4848778878.jpg,a woman in a red shirt and a woman in a black dress are walking down a street
2338791560.jpg,a little boy is playing with a toy
3648097366.jpg,a man in a blue shirt is walking down a sidewalk
3571996084.jpg,a group of people are standing in a circle
7468663062.jpg,a tennis player hits the ball
105335409.jpg,a man in a blue shirt is standing in front of a store
961220478.jpg,a group of people are walking in a parade
6315843581.jpg,a man in a blue shirt is playing a game of pool
537875659.jpg,a woman in a pink shirt is holding a <unk>
2055646179.jpg,a young boy in a blue shirt is playing soccer
1350948838.jpg,a black dog is playing with a black dog
21688595.jpg,a woman in a red shirt and a woman in a red shirt are walking
2686803722.jpg,a man in a blue shirt is standing on a dock overlooking a lake
2709044515.jpg,a woman in a white shirt is cooking
24666160.jpg,a man in a blue shirt is standing in front of a store
203146155.jpg,a man in a blue shirt is sitting on a couch
537586194.jpg,a man in a black jacket is standing in front of a building
3590739067.jpg,a man in a blue shirt is playing a guitar
3175620928.jpg,a man in a black shirt is sitting at a table with a laptop
4586137415.jpg,a woman in a red dress is walking on the beach
3713868971.jpg,a man in a black shirt is riding a horse
1304961697.jpg,a man in a blue shirt is riding a bike
947664583.jpg,a man in a blue shirt is swimming
4540719607.jpg,a group of people are sitting in a circle
2384507273.jpg,a man in a yellow shirt is standing on a train
2322393931.jpg,a man in a blue shirt is standing on a dock
4717903900.jpg,a woman in a red shirt is walking down a street
1124448967.jpg,a man in a blue shirt is sitting on a bench
6400126225.jpg,a group of people are dancing in a parade
157875980.jpg,a man in a blue shirt is standing in front of a building
2400700373.jpg,a bull is thrown to the bull
4649746625.jpg,a man in a blue shirt is walking down a street
493621130.jpg,a dog is running through the water
3474133699.jpg,a woman in a white shirt is playing tennis
845623658.jpg,a man in a black shirt is standing in front of a crowd
4389000364.jpg,a woman in a pink shirt is sitting on a couch
2199200615.jpg,a dog runs through the grass
1266008699.jpg,a man in a blue shirt is sitting on a couch
4929909554.jpg,a group of people are walking through a field
3090593241.jpg,a group of people are walking in a parade
3384314832.jpg,a small dog is running through a small <unk>
2185734339.jpg,a man in a white shirt is holding a guitar
5593634551.jpg,a man in a black shirt is riding a horse
2208662604.jpg,a skateboarder jumps over a ramp
3702607829.jpg,a woman in a red shirt is walking down a street
6921501861.jpg,a man in a blue shirt is sitting on a stool
5293700431.jpg,a man in a black jacket riding a horse
2924259848.jpg,a motocross rider is riding on a dirt trail
2992808092.jpg,a soccer player in a red uniform is playing soccer
3444982197.jpg,a man in a black shirt is sitting in a chair
2662816021.jpg,a dog is running through the water
3609259984.jpg,a man in a blue shirt is sitting on a bench
2147199188.jpg,a man in a blue shirt is sitting on a bench
664228094.jpg,a man in a blue shirt is standing in front of a building
571000535.jpg,a little girl is playing with a toy
3484365373.jpg,a man in a blue shirt is playing a golf game
4333569023.jpg,a man in a blue shirt is sitting on a bench
2957660840.jpg,a man in a black shirt and black pants is standing in front of a <unk>
4932142811.jpg,a man in a yellow shirt is walking down the street
4972936619.jpg,a man in a blue shirt is working on a computer
6811244500.jpg,a man in a black shirt is playing a guitar
4947153201.jpg,a man in a blue shirt is working on a <unk>
2215136723.jpg,a person in a red jacket is snowboarding
241959826.jpg,a man in a white shirt is sitting at a table with a <unk>
5955502935.jpg,a band performs on stage
3541205002.jpg,a man in a white shirt is cooking food
2856564292.jpg,a man in a blue shirt is sitting on a bench
460326010.jpg,a man in a blue shirt is playing a guitar
4437028723.jpg,a man in a blue shirt is standing in front of a building
4946160196.jpg,a man in a blue shirt is standing on a ladder
6869020887.jpg,a man in a blue shirt is sitting on a bench
4727548331.jpg,a man in a black shirt is holding a rope
4727533832.jpg,a man in a black shirt is sitting on a bench
3016759846.jpg,a woman in a red dress is holding a bouquet of flowers
3415578043.jpg,a man in a blue shirt is standing in front of a tree
2893551710.jpg,a man in a white shirt is playing a guitar
228646477.jpg,a man in a blue shirt is working on a chalkboard
1509338579.jpg,a group of people are walking through a field
5104045.jpg,a man in a blue shirt is sitting on a couch
3070713991.jpg,a man in a blue shirt is standing in front of a building
418616992.jpg,a dog is jumping over a log
2557998845.jpg,a man in a blue shirt is standing in front of a store
4807204813.jpg,a man in a blue shirt is standing in front of a building
4661134609.jpg,a man in a blue shirt is standing in front of a building
2593912796.jpg,a man in a white shirt is standing on a boat
2914800692.jpg,a man in a red shirt is standing on a sidewalk
7670346550.jpg,a man in a white shirt is playing tennis
4303790425.jpg,a horse rider riding a horse
2993819041.jpg,a man in a blue shirt is working on a project
3631024633.jpg,a woman in a pink shirt is holding a baby
4752074992.jpg,a man in a black shirt is standing in front of a building
1234206849.jpg,a woman in a red shirt and a woman in a red dress are smiling
3982607071.jpg,a man in a blue shirt is climbing a rock
4824563064.jpg,a man in a red shirt is playing a game of cricket
246231741.jpg,a dog is running through the grass
4824709515.jpg,a man in a canoe is fishing on a lake
2826647354.jpg,a man in a red shirt is riding a motorcycle
4030620867.jpg,a man in a blue shirt is walking down a street
3278189732.jpg,a black and white dog is running in the grass
4232778834.jpg,a woman in a pink dress is holding a bouquet of flowers
6318408733.jpg,a man in a red shirt is playing a game of soccer
4609086520.jpg,a man in a white shirt is sitting in a chair
1833327575.jpg,a man in a white shirt is standing in front of a podium
6282165546.jpg,two hockey players are competing
5855641283.jpg,a young girl in a pink shirt is holding a baby
199463720.jpg,a man in a helmet rides a bike
543264612.jpg,a man in a blue shirt is holding a baby
4791485167.jpg,a man in a blue shirt is playing a <unk>
392354488.jpg,a young girl is sitting on a chair in a room
2419221084.jpg,a dog is running through the grass
4445547327.jpg,a man in a blue shirt is holding a baby
4971935706.jpg,a man in a blue shirt is walking down a street
2565511567.jpg,a man in a blue shirt is standing in front of a building
4762359831.jpg,a man in a black shirt is walking down the street
1077546505.jpg,a little boy in a blue shirt is playing with a toy
3564312955.jpg,a young boy in a blue shirt is swimming in a pool
3036971334.jpg,a man in a blue shirt is standing in a field
4017105582.jpg,a man is skiing down a snowy mountain
4584895948.jpg,a man in a blue shirt is walking down a street
3548354827.jpg,a group of people are sitting at a table
3578757767.jpg,a man in a blue shirt is playing the beach
757046028.jpg,a man in a black shirt is playing a guitar
2897143731.jpg,a man in a black shirt is sitting at a table with a laptop
1872407275.jpg,a man in a blue shirt is standing on a sidewalk
4712565535.jpg,a man in a blue shirt is sitting on a bench
2636454827.jpg,a man in a blue shirt is standing in front of a building
4567351655.jpg,a man in a blue shirt is standing in front of a store
3094317837.jpg,a surfer is riding a wave
1491016655.jpg,a woman in a black shirt is holding a microphone
5352243483.jpg,a man in a blue shirt is walking through a field of flowers
109260216.jpg,a man is climbing a rock face
7438195398.jpg,a man in a black shirt is playing a guitar
3538719941.jpg,a man in a black shirt is sitting at a table with a laptop
1414520123.jpg,a man in a blue shirt is standing in front of a store
4331413547.jpg,a young girl in a pink shirt is walking in a park
2679382862.jpg,a man in a white shirt is playing a guitar
2190137367.jpg,a woman in a blue shirt is playing a red guitar
2832453252.jpg,a man in a blue shirt is playing a game of football
3333619888.jpg,a woman in a blue shirt is walking down the sidewalk
2561190409.jpg,a man in a blue shirt is standing in front of a crowd
3099865313.jpg,a man in a blue shirt is standing in front of a building
171397599.jpg,a group of people are gathered around a large crowd
4453921617.jpg,a man in a yellow shirt is standing on a ladder
4631265529.jpg,a man sitting on a bench
4612954712.jpg,a young girl in a pink dress is walking in a field
4675411687.jpg,a woman in a pink dress is dancing
4609256878.jpg,a man in a blue shirt is sitting on a rock
2635938723.jpg,a young girl is playing with a toy
313326614.jpg,a man in a blue shirt is working on a project
2337757064.jpg,a man in a blue shirt is walking in a field
2351870496.jpg,a group of people are sitting in a pool
3619322150.jpg,a man in a black shirt is holding a <unk>
2644348489.jpg,a man in a white shirt is standing in front of a crowd
2768972186.jpg,a dog is chasing a ball
4696378128.jpg,a man in a black shirt and black pants is walking down the street
3519483468.jpg,a man in a blue shirt is sitting on a rock
3544233095.jpg,a young boy is playing with a toy
549520317.jpg,a man in a blue shirt is sitting on a bench
73158300.jpg,a man in a blue shirt is walking down the street
69953267.jpg,a man in a red shirt is driving a car
406380299.jpg,a man in a white shirt is cooking
2525695288.jpg,a man in a blue shirt and jeans is walking down the street
3373243733.jpg,a man in a blue shirt is riding a bike
273572758.jpg,a man in a blue shirt is standing in front of a tree
3466015690.jpg,a man in a blue shirt is standing in front of a building
4938457809.jpg,a young boy in a blue shirt is playing with a ball
4896173039.jpg,a woman in a red shirt is standing in front of a building
2751466788.jpg,a man in a black shirt and jeans walking down a street
476444908.jpg,a group of people are sitting in a circle
3710971182.jpg,a football player is wearing a red jersey and a red jersey
3574930742.jpg,a man in a black shirt is sitting at a table with a laptop
67494245.jpg,a man in a white shirt is cooking food
6847883340.jpg,a group of people are standing in a street
4271560578.jpg,a man in a black shirt is jumping in the air
5163986158.jpg,a group of people are standing in a field
3251460982.jpg,a dog runs through the snow
4115814951.jpg,a man in a blue shirt and a boy in a blue shirt are walking through a field
4683273591.jpg,a woman in a pink dress is standing in front of a crowd
2834761411.jpg,a man in a blue shirt is working on a project
2437766095.jpg,a man in a blue shirt is holding a <unk>
7571856890.jpg,a woman in a pink shirt is holding a baby
4895859008.jpg,a man in a blue shirt is walking down a sidewalk
16988097.jpg,a man in a red shirt is riding a bike
2234842557.jpg,a man in a black shirt and black pants is walking down a street
2403078014.jpg,a man in a blue shirt is riding a bicycle
429500919.jpg,a man in a blue shirt is sitting in a chair
2393059551.jpg,a man in a blue shirt is working on a project
4810827679.jpg,a man in a black shirt is sitting on a bench
5641021474.jpg,a group of people are standing in front of a large crowd
207015505.jpg,a woman in a black shirt and a woman in a black shirt are sitting on a bench
3088322308.jpg,a man in a blue shirt is sitting on a beach
65298461.jpg,a man in a black shirt is playing a guitar
4856939861.jpg,a group of people are walking down a street
4932831918.jpg,a woman in a black shirt and a woman in a black shirt are standing in a <unk>
3702038926.jpg,a group of people are walking in a field
1148095714.jpg,a man in a white jacket and black pants is standing in a field
870367466.jpg,a young boy is sitting on a couch with a baby
2597958208.jpg,a group of people are walking through a field
368332373.jpg,a man in a blue shirt is standing in front of a store
3877209225.jpg,a young boy is playing with a toy
2848895544.jpg,a man in a white shirt is standing in front of a large <unk>
2990563425.jpg,a man in a blue shirt is riding a bike
4513514840.jpg,a man in a blue shirt is standing in front of a building
4385291946.jpg,a woman is preparing food in a kitchen
5447844412.jpg,a man in a blue shirt is standing on a dock
26625117.jpg,a man in a blue shirt is holding a baby
14264287.jpg,a man in a blue shirt is holding a baby
2255338013.jpg,a man in a blue shirt is standing on a cliff overlooking a lake
3960660630.jpg,a man in a blue shirt is sitting on a bench
233207548.jpg,a man in a blue shirt is standing in front of a crowd
13051044.jpg,a man in a blue shirt is standing in front of a building
3242088278.jpg,a bird flies low as a boat is flying over the water
4406616207.jpg,a man in a red shirt is standing in front of a car
91083825.jpg,a woman in a blue shirt is holding a baby
3939554170.jpg,a young girl is eating a sandwich
783994497.jpg,a man in a white shirt is standing in front of a <unk>
180753784.jpg,a group of people are standing in a field
3152052954.jpg,a man in a white shirt is holding a microphone
860840598.jpg,a man in a blue shirt is walking down a street
4052526123.jpg,a man in a black shirt is sitting on a chair
2206501278.jpg,a group of people are standing in a parade
2550669018.jpg,a woman is cooking food in a kitchen
1079274291.jpg,a young girl is sitting on a blue blanket
2623146491.jpg,a man in a blue shirt is sitting on a chair
413045343.jpg,a group of people are sitting in a circle
475594565.jpg,a man in a blue shirt is riding a bicycle
540503255.jpg,a man in a blue shirt is standing in front of a <unk>
2062567933.jpg,a man in a blue shirt is sitting on a stool in front of a <unk>
4914943385.jpg,a woman in a red shirt is standing in front of a large <unk>
4476210151.jpg,a man in a blue shirt is holding a broom
2374180609.jpg,a man in a blue shirt is working on a machine
2739180469.jpg,a man in a black shirt is walking on the beach
4426503576.jpg,a man in a blue shirt is sitting on a rock
3696246123.jpg,a dog runs through the grass
4909791571.jpg,a woman in a black shirt and black pants walking down a street
1673911365.jpg,a man in a blue shirt is standing on a boat
3421547427.jpg,a man in a white shirt is holding a red ribbon
4688619097.jpg,a man in a white shirt is holding a microphone
4733026482.jpg,a man in a yellow shirt is standing in front of a building
1897025969.jpg,a dog is playing with a toy
4361532957.jpg,a man in a white shirt is standing in front of a crowd
1685463722.jpg,a man in a blue shirt is walking down the street
3355084320.jpg,a man in a black shirt is standing in front of a building
6569938885.jpg,a man in a red shirt is playing a game of soccer
4676845629.jpg,a young boy in a blue shirt is playing with a fountain
2776029171.jpg,a man in a blue shirt and a woman in a blue shirt are walking on a sidewalk
437230706.jpg,a young girl in a pink shirt is holding a baby
2249094622.jpg,a man in a white shirt is selling produce
6774639535.jpg,a man in a blue shirt is standing on a ladder
394136487.jpg,a man in a blue shirt is riding a motorcycle
2683985894.jpg,a woman in a red shirt and a woman in a blue shirt are walking
4831421234.jpg,a man in a white shirt is standing in front of a crowd
3318564834.jpg,a woman in a pink shirt is holding a drink
6447364125.jpg,a man in a blue shirt is playing a guitar
5336798287.jpg,a man in a blue shirt is sitting on a bench
2187222896.jpg,a woman in a black shirt and black pants is walking down a street
3103587323.jpg,a man in a blue shirt is standing in front of a tree
4752874127.jpg,a man in a black shirt is playing a guitar
171132928.jpg,a man in a white shirt is standing in front of a <unk>
5380554509.jpg,a man in a white shirt is riding a bicycle
3269895626.jpg,a man in a blue shirt is riding a bike
3580082200.jpg,a dog is running through a field of grass
5291613581.jpg,a young boy is playing with a toy
4344231645.jpg,a man singing into a microphone
3957074517.jpg,a man in a black shirt is standing in front of a crowd
3909552008.jpg,a man is working on a roof
166321294.jpg,a man in a helmet riding a motorcycle
2243904502.jpg,a dog runs through the grass
6965582571.jpg,a man in a blue shirt is holding a baby
2892989340.jpg,a man in a blue shirt is surfing
2862509442.jpg,a group of people are standing in a field
3485425825.jpg,a woman in a red shirt and a woman in a red shirt are walking down a sidewalk
3395176505.jpg,a man in a blue shirt is sitting on a couch
515335111.jpg,a man kayaks in rough water
1624481.jpg,a man in a black shirt is standing in front of a crowd
4986123752.jpg,a man in a black shirt is standing in front of a building
1362206741.jpg,a man in a blue shirt is sitting on a bench
4029583519.jpg,a group of people are sitting in a circle
4678485216.jpg,a man in a white shirt is standing in front of a large amount of people
3721368299.jpg,a man in a blue shirt is standing in front of a <unk>
3569329986.jpg,a little girl in a pink shirt is holding a little girl in a blue shirt
4862282021.jpg,a man in a blue shirt is holding a camera
1546632452.jpg,a man in a blue shirt is playing tennis
3081395629.jpg,a man in a blue shirt is standing in a field
4154882742.jpg,a man in a black shirt and jeans is walking down a sidewalk
1801663973.jpg,a man in a blue shirt is sitting on a bench
7520893644.jpg,a man in a blue shirt is surfing
4088588261.jpg,a man in a blue shirt is standing in front of a large crowd
3264464625.jpg,a man in a blue shirt is swimming
800173989.jpg,a man in a blue shirt is riding a boat
4042055730.jpg,a group of people are playing soccer
5152207388.jpg,a man in a blue shirt is shaving
3327035014.jpg,a man in a blue shirt is standing in front of a building
2938120171.jpg,a man in a black shirt is standing in front of a large <unk>
2814050407.jpg,a man in a white shirt is sitting in a chair
7380095188.jpg,a baseball player is throwing a ball
4367617589.jpg,a group of people are gathered in a circle
2845760148.jpg,a man in a blue shirt is standing in front of a <unk>
2720985888.jpg,a little boy is playing with a toy
4833051916.jpg,a man in a blue shirt is standing in front of a <unk>
2475544216.jpg,a man in a blue shirt is sitting on a couch
3538363430.jpg,a man in a black shirt is riding a horse
550610362.jpg,a man in a blue shirt is standing in front of a building
4183772367.jpg,a man in a blue shirt is riding a bike
2735558076.jpg,a man in a black shirt is sitting on a bench
2712974062.jpg,a woman in a pink dress is holding a bouquet of flowers
2939771132.jpg,a man in a white shirt is standing in front of a <unk>
217593609.jpg,a man in a white shirt is playing a red guitar
4653630277.jpg,a man in a white shirt is cooking
3605259195.jpg,a man in a blue shirt is walking on a sidewalk
30605277.jpg,a woman is eating a meal
191227760.jpg,a group of people are sitting on a couch
4763795859.jpg,a young boy is sitting on a rock
3482473245.jpg,a man in a blue shirt is standing in front of a crowd
284480980.jpg,a man wearing a hat and a hat is smiling
4806601649.jpg,a man in a blue shirt is standing in front of a <unk>
3179235511.jpg,a young boy is playing with a toy
4441957235.jpg,a group of people are sitting on a couch
7502965482.jpg,a man in a blue shirt is standing in front of a firetruck
3046259614.jpg,a man in a blue shirt is standing in front of a crowd
4583731865.jpg,a man in a blue shirt is sitting on a chair
3987123697.jpg,a man in a black shirt and jeans is walking down the street
3330675488.jpg,a man in a black jacket is shoveling snow
4609351402.jpg,a woman in a black shirt and a woman in a black shirt are standing in front of a building
1519172943.jpg,a man in a blue shirt is standing in front of a <unk>
463116316.jpg,a man in a blue shirt is standing on a dock
2698457631.jpg,a man in a blue shirt is sitting on a rock
3103292929.jpg,a young boy is sitting in a chair
4938897545.jpg,a motorcyclist is riding on a dirt track
1368338041.jpg,a black and white dog is playing with a black and white dog
4193782937.jpg,a man in a white shirt is holding a <unk>
430714939.jpg,a man in a blue shirt is sitting on a stool in front of a <unk>
2775745672.jpg,a man in a blue shirt is sitting on a stool in front of a store
4837452125.jpg,a man playing a guitar in a city
6458025621.jpg,a man in a red shirt is riding a bike
527255763.jpg,a young boy in a blue shirt is playing with a toy
2831314869.jpg,a man in a black shirt is standing in front of a <unk>
3051598721.jpg,a woman in a black dress is walking down the street
500665418.jpg,a man in a black shirt and a woman in a black shirt are standing in front of a <unk>
19810652.jpg,a man in a blue shirt is standing in front of a crowd of people
2992614450.jpg,a man in a blue shirt is jumping in the air
4376136908.jpg,a young girl in a pink shirt is holding a baby
82675922.jpg,a man in a black shirt is sitting at a table with a drink
3435233065.jpg,a man in a blue shirt is jumping in the air
2679926555.jpg,a girl in a pink dress is holding a slingshot
3421104520.jpg,a young girl is sitting on a red and white <unk>
513382879.jpg,a man in a blue shirt is standing in front of a car
2107951699.jpg,a man in a blue shirt is sitting on a couch
2062607137.jpg,a brown dog is running through a field
4674708666.jpg,a woman in a black shirt is sitting on a couch
86341446.jpg,a man in a blue shirt is standing in front of a crowd of people
54817316.jpg,a man in a blue shirt is sitting on a bench
157192048.jpg,a man in a blue shirt is standing in front of a building
4264701235.jpg,a group of people are walking down a street
4671069535.jpg,a group of people are sitting on a bench
6942745583.jpg,a woman is eating a meal
1429814475.jpg,a man in a black shirt and a woman in a white shirt are standing in front of a building
2424716158.jpg,a man in a white shirt is sitting on a couch
2117904671.jpg,a man in a blue shirt is standing on a roof
2135070245.jpg,a young boy is sitting in a chair with a baby
3212625256.jpg,a man in a blue shirt and jeans is walking down a sidewalk
186758532.jpg,a man in a blue shirt is walking on the beach
4892691213.jpg,a man in a blue shirt is standing in front of a building
3041262779.jpg,a man in a blue shirt is standing in a field
2591455200.jpg,a young girl in a red shirt is holding a baby
2426828433.jpg,a dog is running through a field of grass
4521860330.jpg,a man in a blue shirt is standing on a ladder
6046473448.jpg,a man in a blue shirt is riding a bike
2610183392.jpg,a woman in a black dress is walking down the street
4570406069.jpg,a woman in a black shirt and a woman in a black shirt are sitting on a couch
2073756099.jpg,a black and white dog swims in the water
86987116.jpg,a man in a blue shirt is working on a roof
3251976937.jpg,a dog is running through the snow
2756636539.jpg,a dog is running through the snow
1010470346.jpg,a man in a blue shirt is standing in front of a car
4500680173.jpg,a woman in a black shirt and black pants is walking down a street
4559151126.jpg,a man in a blue shirt is standing in front of a crowd
2800990525.jpg,a man in a black shirt is standing in front of a store
2311690895.jpg,a small dog is playing with a toy
3427540832.jpg,a man in a black shirt and a woman in a blue shirt are standing in front of a <unk>
3519232801.jpg,a group of people are standing in front of a large crowd
459814265.jpg,a dog is running through a field of grass
313238061.jpg,a group of people are sitting on a bench
4872515943.jpg,a man in a blue shirt is standing in front of a <unk>
1428681303.jpg,a man in a black shirt is sitting on a bench
4558169132.jpg,a woman walking down the street
4254863635.jpg,a man in a blue shirt is driving a tractor
166283675.jpg,a woman in a black shirt and black pants is walking down a street
4835236623.jpg,a man in a black shirt and black pants is walking down a street
6332384430.jpg,a man in a red shirt is playing volleyball
380041023.jpg,a dog is running through a field
3893510114.jpg,a man in a blue shirt is sitting on a chair
2993841039.jpg,a group of people are riding bikes in a marathon
4985753773.jpg,a woman is sitting in a chair eating a meal
5354904685.jpg,a man in a blue shirt is riding a bicycle
702083815.jpg,a man in a blue shirt is playing a game of softball
2956697221.jpg,a man in a blue shirt is walking down a street
4802006392.jpg,a man in a black shirt and jeans is walking down a street
6482211705.jpg,a man in a black shirt is sitting on a couch
3996889070.jpg,a man in a blue shirt is standing in front of a tree
874736612.jpg,a man in a white shirt is sitting at a table with a <unk>
3534376990.jpg,a man in a blue shirt is sitting on a chair
3329961466.jpg,a man in a blue shirt is sitting on a bench
31940658.jpg,a man in a blue shirt is holding a broom
4885036157.jpg,a man in a black shirt is standing in front of a building
504334876.jpg,a woman in a pink shirt is sitting on a couch
2858439751.jpg,a man in a red helmet is riding a motorcycle
3643666111.jpg,a baseball player is throwing a baseball
6321472404.jpg,a football player in a red uniform is running
3756739471.jpg,a man in a blue shirt is jumping in the air
7162690187.jpg,a man in a blue shirt is standing in a field
7438344154.jpg,a man in a blue shirt is playing golf
2865725777.jpg,a man in a blue shirt is standing in front of a building
5138003138.jpg,a man in a black shirt is jumping in the air
3544673666.jpg,a dog is jumping over a hurdle
3335997221.jpg,a woman in a black shirt and a woman in a black shirt are talking
2335071959.jpg,a man in a yellow shirt is standing on a roof
5041370727.jpg,a man in a black shirt is playing a guitar
407569668.jpg,a man in a black shirt is sitting on a couch
2382326464.jpg,a man in a blue shirt is sitting on a couch
2609836649.jpg,a man in a blue shirt is jumping in the air
3262185149.jpg,a man in a blue shirt is sitting in a chair
375118300.jpg,a man in a blue shirt is standing in front of a building
3501313414.jpg,a man in a blue shirt is walking in a field
309546889.jpg,a man in a white shirt is sitting on a stool in front of a store
119534510.jpg,a man is standing on a dock in front of a bridge
5341071664.jpg,a crowd of people are watching a crowd
6286924128.jpg,a football player in a red uniform is running
6212107040.jpg,a man in a blue shirt is driving a tractor
7320251226.jpg,a man in a blue shirt is playing a game of hockey
3171609109.jpg,a man in a white shirt is playing tennis
3204579636.jpg,a man in a blue shirt is standing in front of a store
2981372647.jpg,two dogs run through the grass
2445283938.jpg,a woman in a black shirt and a woman in a black shirt are sitting on a bench
1433924222.jpg,a group of people are standing in a field
4981398759.jpg,a group of people are sitting at a table
530472459.jpg,a little girl in a blue shirt is playing with a soccer ball
2525471610.jpg,a man in a blue shirt is standing on a dock overlooking a lake
3930850693.jpg,a man in a blue shirt is riding a bike
3497238310.jpg,a group of people are walking down a street
35652137.jpg,a man in a blue shirt is walking down a street
4834129500.jpg,a man in a blue shirt is standing in front of a building
2522995166.jpg,a group of people are standing in a circle
2604825598.jpg,a brown dog is running through a field of grass
6848969811.jpg,a man in a black shirt is sitting on a couch
4771254001.jpg,a man in a blue shirt is standing in front of a building
686569442.jpg,a man in a blue shirt is standing in front of a large <unk>
4623188792.jpg,a man in a black shirt is walking down the street
3205839744.jpg,a dog is jumping over a hurdle
4653846744.jpg,a man in a blue shirt is standing in a field
3279150949.jpg,a young boy is jumping in the air
4833088018.jpg,a man in a blue shirt is standing in front of a building
6260674203.jpg,a man in a white shirt is cooking
2763767621.jpg,a man in a blue shirt is standing on a ladder
3409740108.jpg,a group of people are walking on a sidewalk
2387900324.jpg,a man in a black shirt is holding a microphone
4305899259.jpg,a man in a black shirt is sitting on a couch
127332812.jpg,a man in a blue shirt is standing in front of a building
7212803242.jpg,a young boy is playing with a toy
2591603141.jpg,a dog is jumping over a stream of water
3815118282.jpg,a man in a blue shirt is sitting on a bench
2213113526.jpg,a man in a blue shirt is standing in front of a building
3196557944.jpg,a young boy is playing with a toy
3085590738.jpg,a man in a black shirt is standing in front of a <unk>
3290025108.jpg,a man in a blue shirt is standing in front of a large building
4328448107.jpg,a group of people are sitting at a table
2949337912.jpg,a surfer is running through the water
3425573919.jpg,a group of people are sitting on a bench
478209058.jpg,a man in a blue shirt is walking down a snowy hill
1188670028.jpg,a man in a red shirt is walking down a rocky trail
8217001488.jpg,a man in a blue shirt is holding a camera
14072289.jpg,a man in a blue shirt is sitting on a bench
2605139928.jpg,a woman is sitting at a table eating a meal
29320965.jpg,a man in a white shirt is standing in front of a crowd
47321520.jpg,a man in a black shirt and black pants is playing a violin
482263877.jpg,a man in a black shirt is sitting on a couch
1368082221.jpg,a man in a white shirt is cooking
4981399929.jpg,a man in a blue shirt is sitting in a chair
2058989634.jpg,a group of people are walking in a parade
61206655.jpg,a man in a blue shirt is standing in front of a <unk>
3018467501.jpg,a woman in a red shirt is holding a red and white bag
6948376088.jpg,a baseball player is throwing a ball
3316120400.jpg,a man in a black shirt is playing a guitar
4782776184.jpg,a man in a blue shirt is standing in front of a building
4610962283.jpg,a woman in a black shirt is playing a harp
2311624099.jpg,a man in a blue shirt is jumping on a beach
4928893732.jpg,a man in a blue shirt is standing in front of a <unk>
4377802020.jpg,a woman in a red dress is dancing
437527058.jpg,a man in a red jacket is skiing
1084527029.jpg,a man in a blue shirt is riding a bike
2540750172.jpg,a man in a white shirt is preparing a fish
1260501563.jpg,a dog runs through the water
464340358.jpg,a man in a blue shirt is standing on a rock
2501595799.jpg,a boy in a blue shirt is playing in the water
128395625.jpg,a man in a blue shirt is riding a bicycle
94989565.jpg,a man in a blue shirt is standing in front of a large group of people
3797595159.jpg,a group of people are sitting on a couch
3580741947.jpg,a man in a black jacket is walking down the street
6865517328.jpg,a man in a blue shirt is walking in a field
3328324395.jpg,a man in a blue shirt is standing in front of a large <unk>
3637966641.jpg,a man in a blue shirt is playing a game of football
567713601.jpg,a group of people are riding camels
1928789813.jpg,a group of people are sitting at a table
3325497914.jpg,a man in a black shirt is sitting on a bench
1466479163.jpg,a dog is running through a field of grass
263764537.jpg,a man in a white shirt is riding a bike
617999370.jpg,a man in a black shirt is walking down the street
3784577325.jpg,a man in a blue shirt is standing on a bench
396084707.jpg,a man in a blue shirt is standing in front of a <unk>
3195588704.jpg,a woman is cooking food in a kitchen
2551007516.jpg,a man in a blue shirt is standing in a field
